OBJECTID-esriFieldTypeOID,NVCSName-esriFieldTypeString,NVCSLevel-esriFieldTypeString,MapClass-esriFieldTypeString,MapClassID-esriFieldTypeString,Poly_ID-esriFieldTypeInteger,X_Centroid-esriFieldTypeDouble,Y_Centroid-esriFieldTypeDouble,CALVEGName-esriFieldTypeString,CALVEGCode-esriFieldTypeString,CWHRType-esriFieldTypeString,CWHRCode-esriFieldTypeString,GlobalRank-esriFieldTypeString,StateRank-esriFieldTypeString,Rare-esriFieldTypeString,CaCode-esriFieldTypeString,NVCSAlliance-esriFieldTypeString,NVCSGroup-esriFieldTypeString,NVCSMG-esriFieldTypeString,Acres-esriFieldTypeDouble,Hectares-esriFieldTypeDouble
36933,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,36933,323317.31497133,4069043.07191685,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,57.23504197,23.16219972
36937,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,36937,323104.55729183,4068773.79620056,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,28.24060222,11.42856624
37422,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,37422,323771.26493649,4068541.12132848,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,85.37405052,34.54965246
37448,Sequoiadendron giganteum,Alliance,Giant Sequoia Forest Alliance,4020,37448,323385.51555425,4068436.98027377,Big Tree (Giant Sequoia),BT,Sierra Mixed Conifer,SMC,G3,S3,Yes,86.200.00,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,15.81686977,6.4008601
38940,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,38940,323115.60135166,4067027.98887288,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,4.91091729,1.98737771
38943,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,38943,323644.95583505,4066884.3753099,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,8.02759222,3.24865131
39420,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,39420,323336.73200242,4066740.46920767,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,6.22461434,2.51901205
39933,Sequoiadendron giganteum,Alliance,Giant Sequoia Forest Alliance,4020,39933,324389.27429531,4065525.05686073,Big Tree (Giant Sequoia),BT,Sierra Mixed Conifer,SMC,G3,S3,Yes,86.200.00,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,142.82880916,57.80076836
40450,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,40450,329355.92387615,4062834.22745379,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,1937.26872296,783.98483734
40461,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,40461,327211.99697808,4065040.94822984,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,2.80010494,1.13316226
40464,Sequoiadendron giganteum,Alliance,Giant Sequoia Forest Alliance,4020,40464,323976.42236294,4065557.16883658,Big Tree (Giant Sequoia),BT,Sierra Mixed Conifer,SMC,G3,S3,Yes,86.200.00,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,8.11331281,3.2833412
40467,Sequoiadendron giganteum,Alliance,Giant Sequoia Forest Alliance,4020,40467,324201.09106471,4065499.4420041,Big Tree (Giant Sequoia),BT,Sierra Mixed Conifer,SMC,G3,S3,Yes,86.200.00,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,4.49284657,1.8181905
40938,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,40938,327770.55927136,4064672.29922278,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,14.91968998,6.03778432
40939,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,40939,329991.28352621,4064587.92299042,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,4.08970938,1.65504667
41440,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,41440,328225.14114222,4064121.72604045,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,2.87583245,1.1638081
41442,Sequoiadendron giganteum,Alliance,Giant Sequoia Forest Alliance,4020,41442,328278.84501521,4064218.00805875,Big Tree (Giant Sequoia),BT,Sierra Mixed Conifer,SMC,G3,S3,Yes,86.200.00,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,13.52507189,5.4734024
41942,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,41942,327924.4082185,4063598.34063193,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,0.04998009,0.02022622
41948,Sequoiadendron giganteum,Alliance,Giant Sequoia Forest Alliance,4020,41948,328034.62325966,4063525.15120828,Big Tree (Giant Sequoia),BT,Sierra Mixed Conifer,SMC,G3,S3,Yes,86.200.00,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,14.60865359,5.91191236
